PaymentID,PolicyID,PaymentDate,Amount,PaymentType
34077f19-55f4-4dc4-8f54-c291429516a5,d194ba43-0ce3-4861-8bea-e7346bea36ae,2022-01-04,-150,Bank Deposit
4d17ef8b-7c56-4ec1-afb0-7780f453e269,432f944e-23ef-439d-8a35-786f7090a235,2022-01-05,160,debit_order
0c1b4f39-941e-47eb-8510-fbd5e8b5ad02,d4d92b34-fb1b-4569-890d-2441265ade7e,2022-01-07,160,debit_order
5acf66f8-f2fe-4af8-a899-2acaae03a53c,10eb764a-a0b2-4bd6-bcd7-dc9773c334a9,2022-01-07,80,PayAt
48dac2e3-3289-4979-a622-cd0da93c03a1,d8817217-db14-484e-8418-d58be87937f1,2022-01-08,80,bank_deposit
66a0beca-0b4a-4f1c-a761-608db1f99ecf,684d50c2-ca64-4fe3-96e1-eb01b781e12a,2022-01-10,160,PayAt
6b30c292-b1d7-468b-a81d-c6ca2d489fbd,549d845e-b727-40f2-8273-bf367df1b356,2022-01-10,80,Bank Deposit
60c6cce6-45e6-4124-b34a-f59f6be65f00,0d8a3c20-4f14-4976-8aeb-a93d24b6c95e,2022-01-12,160,Bank Deposit
b53f0010-0ad4-4466-9c73-3481ba5a58b1,cb227afa-5e3f-4337-89d6-a37c34568149,2022-01-13,160,debit_order
44a3542e-40e7-4a55-8223-354446fffe73,43c881e0-3cb2-4f9e-bf0e-faf6a40bd71c,2022-01-14,160,PayAt
f6cbd8d8-ae6f-485d-adf7-d2e08b208b3f,87a48383-654a-4dd9-81ba-707d47e94cdb,2022-01-15,80,payat
a1d9e574-8dfd-4a8f-86f6-8e35d2c741ad,ea0ec79e-83cc-496c-9c67-bbc80f455a01,2022-01-15,80,PayAt
aa3d7c4d-8c3c-4375-ad57-7e7295fe6057,a64b985e-8dba-4b92-9d29-e607b51180a2,2022-01-18,80,payat
72986d11-ea96-41a2-b02c-dc8c86f8ef5c,83c878dd-cc48-418c-a8d8-c18646973b78,2022-01-19,320,payat
4b39f79f-fd34-427a-bc8b-f2361c036a6a,9ed3005f-e121-4af5-9e84-bc25b999b4fa,2022-01-22,80,bank_deposit
